user,trd_times,total_count,B_out,C_in,out_count,in_count,cny_trx_amt,Dat_Flg3_Cd,Trx_Cod1_Cd,is_in_first_10days,is_in_middle_10days,is_in_last_10days
U1F0543,595,678691.8599999992,288,307,1036269.3700000008,1714961.2299999997,605300.0,A,2,194,202,199
UC64EB9,593,-3068.910000000009,472,121,1441256.260000001,1438187.35,50000.0,A,1,186,204,203
UEF6C20,592,88.17999999999996,330,262,18613.58,18701.760000000006,520.0,A,3,139,191,262
UFE92A2,589,2189.8100000000104,330,259,301088.67,303278.47999999986,23000.0,A,1,159,138,292
U7EABCA,587,40861.770000000135,526,61,5181587.87,5222449.64,2000000.0,B,1,150,213,224
U29B92F,582,-10480.610000000026,400,182,389367.2599999998,378886.65,35593.37,A,1,166,170,246
UACA00B,580,5718.800000000026,258,322,808271.4299999998,813990.2299999994,100000.0,A,2,258,132,190
U107C9F,575,720.1999999999961,538,37,42137.560000000034,42857.76,9613.46,A,1,189,209,177
U5B2FBF,573,50441.89000000001,269,304,1402023.5100000002,1452465.4,96360.0,A,1,208,168,197
UEBD77E,573,-2519.030000000193,231,342,1330548.8,1328029.7700000005,50000.0,A,2,135,238,200
UB800CA,565,-5020.270000000006,305,260,434931.6700000001,429911.40000000014,10000.0,A,1,100,186,279
UB7F9F3,563,260.61000000001417,358,205,948883.31,949143.92,50000.0,A,1,177,233,153
U4F50E1,559,23425.280000000028,541,18,175952.86,199378.14,40000.0,B,1,149,210,200
U89BC09,550,-3674.3200000000065,526,24,271224.77,267550.45,25000.0,B,1,149,178,223
UEEE8DC,547,-8948.080000000005,349,198,355539.0500000001,346590.9700000001,87000.0,A,1,203,183,161
U9828D0,541,1010.7199999999904,295,246,297443.86,298454.5799999999,20000.0,A,2,235,165,141
UDE0FDE,538,4342.029999999999,477,61,196522.32,200864.35,30000.0,B,1,177,147,214
U0F284E,533,-1480.450000000002,461,72,47002.37,45521.92,5843.99,A,1,187,180,166
U9CFA30,530,4193.419999999944,404,126,999469.3200000002,1003662.74,100000.0,A,1,189,167,174
UCD0DCD,529,-12846.41999999998,369,160,625338.11,612491.69,20000.0,A,1,114,168,247
UE809C2,523,681.7999999999865,332,191,263941.25999999983,264623.05999999994,10075.86,A,1,204,126,193
U21DE75,523,10002.62000000002,321,202,666475.8600000003,676478.4799999995,46947.97,A,1,132,238,153
UE3505A,523,10624.17000000016,295,228,1739998.4,1750622.5699999994,100000.0,A,1,180,111,232
U717425,523,8867.350000000053,473,50,764917.4300000003,773784.7799999998,50000.0,A,1,137,185,201
UFB70C2,522,-114666.47999999992,126,396,908497.4,793830.9199999984,53000.0,A,2,273,199,50
U759047,521,-30179.699999999993,499,22,78012.67,47832.97,8622.95,B,1,185,159,177
U327D23,520,-42824.11999999998,512,8,51082.31999999998,8258.2,4000.0,B,1,175,179,166
UBC74E6,507,15585.360000000004,303,204,169236.66000000006,184822.01999999987,10000.0,A,1,130,192,185
UE236BD,504,-3949.989999999999,465,39,61988.85000000001,58038.86000000001,16644.61,A,1,177,194,133
U10A437,503,-364.39999999999776,412,91,70724.70000000001,70360.30000000003,7358.94,A,1,209,153,141
UC2D7D4,501,-1640.149999999995,393,108,48878.77,47238.61999999998,8000.0,A,1,160,182,159
UB16DDD,501,-1049.5,401,100,331525.60999999987,330476.10999999987,24975.02,A,1,139,139,223
UD46124,501,-195837.92000000025,371,130,1039269.61,843431.6900000002,43970.08,A,1,141,231,129
U99F265,499,-2103.9300000000085,465,34,11276.669999999978,9172.739999999996,5398.07,B,1,53,169,277
U941178,498,15056.13,459,39,336214.7699999999,351270.9,110000.0,A,1,162,176,160
U973393,496,-221548.38999999987,479,17,322677.4799999998,101129.09,37966.22,A,1,158,159,179
U3F8E12,496,5020.77,465,31,44856.849999999984,49877.62,16000.0,B,1,149,181,166
U3C5E15,493,635.1699999999951,362,131,97918.47,98553.63999999996,16478.42,B,1,144,173,176
UE0D243,489,-1246.2499999999984,392,97,28238.100000000013,26991.85,11579.02,B,1,144,170,175
U13F838,489,3141.830000000009,338,151,350979.98,354121.81,27267.52,A,1,100,181,208
UDE0C8A,488,11460.949999999993,371,117,550104.4400000001,561565.39,20000.0,A,1,165,154,169
U055341,488,-8438.120000000014,351,137,369325.6000000001,360887.48,9973.98,A,1,160,148,180
U7C293C,486,-4851.3899999999985,467,19,60255.29000000005,55403.90000000001,15000.0,A,1,177,155,154
U928AE0,486,-790037.1199999999,383,103,3222391.4600000014,2432354.3400000003,140000.0,A,1,192,164,130
U864B8A,485,-2983.150000000664,461,24,400567.5900000004,397584.44,200000.0,A,1,176,155,154
U6DDAAC,483,-51875.95000000005,286,197,1503594.4400000004,1451718.4900000002,30000.0,A,1,125,173,185
UB222C4,482,-831.6100000000115,402,80,394947.59,394115.9800000002,43806.0,A,1,161,146,175
UF2EED9,482,-59.62999999999853,335,147,52167.53,52107.90000000001,4296.03,A,1,155,166,161
UEAEE3F,482,10390.890000000085,402,80,1772735.78,1783126.67,359800.0,A,1,171,129,182
U227B75,479,-892.9500000000021,420,59,173887.05,172994.1,20000.0,A,1,154,140,185
U3453FB,478,1364.5200000003315,284,194,2260656.75,2262021.2699999986,1000000.0,A,1,113,194,171
U91F980,478,-10762.840000000006,229,249,40167.12,29404.27999999998,12257.41,B,2,166,171,141
U00297F,478,-1742.3199999999852,233,245,771199.7400000001,769457.4200000005,51426.31,A,2,160,105,213
U4F5D45,478,-3866.6599999999908,423,55,60695.84,56829.18000000002,16256.44,A,1,177,163,138
UD476C3,477,1379.5999999999685,474,3,35620.400000000016,37000.0,31000.0,B,1,164,152,161
U25BEA9,475,3796.879999999981,438,37,407646.59,411443.47,81261.0,A,1,185,141,149
UC6B245,475,-7873.219999999754,172,303,2288585.68,2280712.46,54103.71,A,2,117,70,288
U037D91,473,-16164.629999999855,266,207,1217727.6599999995,1201563.0300000005,38877.1,A,1,169,131,173
U5E0F3F,473,52778.44999999995,411,62,3790243.929999997,3843022.38,1000000.0,B,1,172,119,182
UD795CE,472,0.7400000000094755,322,150,19106.54,19107.27999999999,2000.0,A,1,107,152,213
U1B3516,472,-4654.639999999959,287,185,1198412.5599999998,1193757.92,38154.0,A,1,169,140,163
U4A6F76,471,-11328.559999999992,420,51,60551.28000000004,49222.72,5227.77,A,1,196,170,105
U63E662,470,10301.850000000006,240,230,872431.0299999998,882732.8799999999,39263.0,A,2,108,200,162
U5FC08B,470,-366371.3399999998,412,58,1820093.1,1453721.76,175894.0,A,1,192,150,128
UFD6C4E,470,-7619.869999999993,411,59,106976.08999999998,99356.22,13700.0,A,1,175,132,163
U8B491E,469,-9587.740000000022,381,88,165407.71000000005,155819.97000000006,25000.0,B,1,115,183,171
UA33A67,469,-1569.9099999999967,403,66,28204.240000000005,26634.33,4835.1,A,1,138,158,173
U0883BB,469,-166637.27999999994,272,197,4799234.83,4632597.549999999,92001.52,A,1,71,100,298
U62D6D0,467,-14884.580000000027,347,120,677465.7,662581.1199999999,35000.0,A,1,125,183,159
UBF6C87,467,-12385.53,299,168,696076.7800000004,683691.25,42392.44,A,1,151,157,159
U19D4A6,466,-54.220000000001534,415,51,13374.26,13320.039999999995,3996.0,A,1,189,173,104
UBF9D2F,466,6843.650000000023,313,153,164235.73999999993,171079.39000000007,10924.4,A,1,164,75,227
UF1BFA7,463,14341.779999999988,243,220,769857.6799999998,784199.46,40000.0,A,2,127,188,148
U3B257F,462,-3293.5799999999967,373,89,105168.94,101875.36,12859.78,A,1,159,153,150
UC071A3,460,-10923.490000000103,131,329,592049.12,581125.6300000007,36235.5,A,2,188,159,113
U3CCCF0,460,-5944.389999999898,340,120,14432794.7,14426850.31,1003218.98,A,1,121,156,183
U61A00E,458,57142.580000000075,282,176,887658.8099999988,944801.39,36140.0,A,1,153,146,159
U5A7C62,458,605.0399999999845,402,56,89885.84000000008,90490.87999999998,12000.0,B,1,142,156,160
U3EAC02,456,49.99000000000126,403,53,53489.43999999995,53539.43,10000.0,B,1,130,143,183
UF4D674,455,12149.070000000018,203,252,682713.84,694862.9099999993,31200.0,A,2,121,105,229
U5A1B35,452,-39639.010000000046,341,111,3147249.4999999995,3107610.49,419138.36,A,1,147,147,158
UC01548,451,-869.1000000000051,415,36,228560.83,227691.73,75000.0,A,1,158,139,154
UF4FE25,449,-185.42000000000155,399,50,50773.62999999999,50588.21000000001,15000.0,A,1,134,160,155
UC54C41,449,-8850.419999999613,404,45,5318450.14,5309599.720000002,1486738.07,A,1,25,297,127
U7BAFBE,448,131773.15,301,147,261595.66000000003,393368.81000000006,35470.0,A,1,102,192,154
UF9DB5B,447,98413.38000000012,405,42,4026906.449999999,4125319.83,1300000.0,A,1,150,97,200
U6F71B7,447,-13635.760000000002,390,57,82766.74000000003,69130.98,20000.0,A,1,120,159,168
U8D16FD,445,-103516.07000000002,378,67,321183.02000000014,217666.95,58382.86,A,1,150,126,169
UFB19C1,443,-9945.679999999997,420,23,57350.21000000008,47404.53000000001,10000.0,A,1,131,193,119
UB4E164,441,-8246.849999999999,280,161,51505.27,43258.42000000001,1650.0,A,1,149,148,144
U217337,440,1951.3900000000046,231,209,414126.29,416077.68000000005,13000.0,A,2,95,207,138
U96BBFF,440,96269.77999999998,211,229,942410.4000000005,1038680.1799999988,19849.0,A,2,129,83,228
UA1B000,438,-8078.390000000002,424,14,168711.49000000002,160633.1,50000.0,B,1,113,126,199
U6D4EFF,438,2883.78,347,91,7505.6799999999985,10389.460000000003,3000.0,A,1,159,140,139
UA06EF3,435,3119.5099999999848,401,34,254923.16999999995,258042.68,108210.0,B,1,114,146,175
U4E5489,435,-663.0500000000012,304,131,67776.77000000003,67113.72000000004,9996.28,A,3,166,132,137
U8B3216,432,6388.480000000081,297,135,1006691.4,1013079.88,100000.0,B,1,111,199,122
U5F1A71,432,17607.02999999999,382,50,98324.55000000006,115931.58000000002,30000.0,A,1,126,157,149
UBA34D6,432,-5020.5099999999875,411,21,291664.12,286643.61,61733.7,A,1,114,146,172
U416C8F,432,-5037.009999999997,316,116,299856.15000000014,294819.14,39600.0,A,1,215,124,93
UE419E5,429,2646.690000000006,337,92,211297.85999999987,213944.54999999996,10900.0,A,1,84,141,204
UE125BC,428,15936.339999999951,413,15,267113.0,283049.34,118560.94,B,1,146,137,145
U813A31,428,1087.9499999996974,382,46,12405474.580000006,12406562.53,3000000.0,A,1,148,140,140
UAA0B47,428,7760.80999999999,340,88,104964.92,112725.72999999998,28265.72,B,1,142,140,146
UC0388C,425,-636.4000000000672,120,305,351783.4900000001,351147.0900000007,5998.13,A,2,99,146,180
UC865F6,424,1897.7400000000064,318,106,959176.86,961074.6,110000.0,A,1,106,132,186
U400570,423,-2563.510000000007,378,45,243418.83,240855.32,71000.0,A,1,132,149,142
UECB5AC,422,7423.140000000029,274,148,3646584.02,3654007.16,80000.0,A,1,95,165,162
UBDC19E,421,18826.210000000072,204,217,1247040.14,1265866.3499999992,49456.49,A,2,147,162,112
UFA0E4B,420,-27307.790000000008,268,152,375637.2800000001,348329.49,9990.0,A,1,157,101,162
UB8F54D,419,-17828.69999999998,396,23,197471.91999999995,179643.22,67000.0,A,1,119,147,153
UF9593D,419,-3371.1000000000518,394,25,45293.619999999886,41922.52,11500.0,A,1,142,156,121
U721319,417,-186635.13,408,9,257228.44000000003,70593.31000000001,30000.0,A,1,108,165,144
U20A617,415,-27099.539999999994,389,26,147156.91,120057.36999999998,30000.0,B,1,101,162,152
U15F5AA,414,-1017.2999999999993,211,203,581732.53,580715.2300000002,20102.92,A,2,156,139,119
U733A93,414,-1167.9499999999946,335,79,106711.13,105543.18,11130.67,A,1,132,167,115
U4ED5F2,413,-2760.659999999943,319,94,258140.7900000004,255380.13,17182.82,A,1,145,155,113
U82F8BA,412,-65942.41999999993,368,44,604781.18,538838.76,159200.0,A,1,106,153,153
UF9044F,411,3120.0,204,207,12192.999999999998,15313.0,500.0,A,2,98,142,171
U7E0CB4,410,-13891.389999999968,261,149,666186.32,652294.93,30000.0,A,3,139,155,116
U623170,410,845.7900000000012,387,23,27910.630000000005,28756.419999999995,7669.44,A,1,133,128,149
U675D2A,408,-25157.120000000014,375,33,129754.69,104597.57,11000.0,A,1,135,139,134
U058703,407,-8348.119999999974,398,9,1040296.57,1031948.4500000002,970000.0,B,1,148,119,140
U4127CF,407,-16950.899999999976,382,25,356691.98999999993,339741.09,90000.0,A,1,131,124,152
U3CAC8F,406,22366.05000000001,208,198,559723.83,582089.8799999999,26672.49,A,1,172,101,133
UE985BB,406,8929.049999999985,380,26,26036.74999999998,34965.8,13830.0,A,1,109,100,197
UCC6541,405,-121.00000000000182,206,199,56263.39,56142.39000000001,1210.0,A,2,98,160,147
U722645,404,-34490.98000000003,251,153,518102.76000000007,483611.7800000001,24800.0,A,1,100,136,168
UF5DA8A,404,-353.50999999999794,364,40,60941.80000000001,60588.29,17288.29,A,1,112,169,123
UFE98E1,404,11583.990000000007,80,324,560173.6,571757.59,18645.0,A,2,226,82,96
U37329B,401,1670.1099999999785,252,149,573397.63,575067.7400000001,30000.0,A,1,103,101,197
U0322ED,401,1827.129999999999,319,82,27051.4,28878.53,1870.13,A,1,112,146,143
U7BB53B,400,-151690.1799999997,244,156,5740263.6,5588573.419999999,1500000.0,A,1,123,158,119
U1B6544,398,-25593.599999999962,346,52,1207389.94,1181796.34,106923.0,A,1,103,154,141
UE15319,397,-16447.350000000006,353,44,294751.31999999995,278303.97,39721.0,A,1,104,197,96
U098BA0,396,-5048.020000000102,257,139,3468481.4499999993,3463433.43,195000.0,A,1,140,116,140
UEC8CFE,396,-7649.900000000002,279,117,949420.13,941770.2300000004,100000.0,A,1,122,158,116
U381D15,396,-4006.179999999999,378,18,33068.59000000002,29062.41,11917.32,B,1,135,120,141
U8961D3,396,-2696.559999999996,314,82,115476.57999999994,112780.02,10455.6,B,1,184,108,104
UC51A50,395,26246.84000000001,299,96,110839.93,137086.76999999987,11000.0,A,1,114,147,134
UEF155F,395,-428.0900000000087,341,54,35404.03000000002,34975.94,4541.09,A,1,130,122,143
UD118A2,394,-42293.90999999993,371,23,482325.35,440031.44,232800.25,B,1,109,153,132
U343303,393,242.5500000000006,204,189,146741.17,146983.72,8707.0,A,3,130,163,100
UCCBAC0,393,1666.4199999999955,264,129,362422.2,364088.62000000005,36000.0,A,1,93,109,191
U2CBA03,393,9496.149999999978,352,41,144893.99999999994,154390.15,20000.0,A,1,101,129,163
U76A4F3,393,66355.98999999998,358,35,405737.95,472093.94,238614.11,A,1,154,124,115
U10C07C,393,17936.729999999967,334,59,395420.32999999984,413357.06000000006,30975.0,A,1,132,124,137
U833653,392,-2265.889999999931,299,93,901133.92,898868.0299999998,170000.0,A,1,149,129,114
U8D9573,390,-1486.5299999999827,371,19,63827.669999999984,62341.14,19706.64,B,1,138,104,148
U5FEF60,390,1396.020000000005,366,24,35418.17000000001,36814.19,7878.0,A,1,82,157,151
U521428,388,1929.7900000000006,344,44,32188.61,34118.400000000016,6025.0,A,1,153,120,115
UD51175,388,-21931.259999999813,332,56,9655925.010000004,9633993.749999998,2110000.0,B,1,90,171,127
UF5973C,387,29162.64999999956,308,79,18712861.370000005,18742024.02,7500000.0,B,1,138,141,108
U157419,386,-180.46000000000004,249,137,78634.24999999999,78453.79,4013.0,A,1,178,43,165
UA8D176,386,10180.599999999975,313,73,1570600.09,1580780.6900000004,144035.89,A,1,152,119,115
UB6142B,386,7055.090000000004,350,36,124065.25,131120.34,29147.67,B,1,145,91,150
U1E5613,386,2447.2700000000004,321,65,55119.95,57567.22,10000.0,A,1,156,112,118
U0604A3,384,-8825.210000000001,342,42,50105.12000000002,41279.91,9801.64,A,1,111,122,151
U332870,382,2012.6299999999994,289,93,256928.55999999988,258941.19,27950.0,A,1,183,117,82
U850804,382,110.0400000000227,204,178,1229119.57,1229229.61,47800.0,A,3,170,102,110
U641DBD,382,624.4499999999936,317,65,66689.65999999999,67314.11000000003,6497.24,B,1,127,145,110
UC08281,382,39813.13999999996,355,27,492432.43,532245.5700000001,100000.0,B,1,130,109,143
U2E9D32,381,2577.4200000000023,325,56,14620.929999999995,17198.350000000002,3461.45,B,1,111,137,133
U85B6D6,380,4834.790000000015,237,143,307435.16,312269.9500000001,47000.0,A,1,90,130,160
U6A82E0,380,246.64999999999054,265,115,222941.24,223187.89000000004,19880.0,A,1,100,168,112
U7E4F0A,379,-1165.3299999999635,115,264,1471101.8200000003,1469936.4899999988,31000.0,A,2,91,139,149
U2AB8AD,379,-15693.359999999993,332,47,229876.49999999988,214183.14000000004,30470.0,B,1,149,105,125
UB12884,379,-60758.28999999997,351,28,713114.2499999999,652355.96,100000.0,A,1,161,122,96
U63EB94,378,-4306.260000000003,360,18,33933.73,29627.47,5000.0,A,1,112,159,107
UBF9349,378,-1156.3499999999838,325,53,104029.52000000002,102873.17,17293.59,A,1,89,138,151
U916290,377,4112.120000000011,221,156,652519.4900000003,656631.6100000001,19500.0,A,2,161,50,166
U53E44F,376,-701.7999999999937,344,32,182718.54000000007,182016.74,14645.46,A,1,142,116,118
U56BBA5,375,19477.02000000001,310,65,577698.2100000001,597175.23,30050.0,A,1,115,110,150
UCDAF93,375,-16749.560000000005,349,26,206492.63,189743.07,50000.0,B,1,126,112,137
U75CDBA,374,10886.080000000016,285,89,345401.76,356287.84,25188.0,A,1,191,134,49
U45FF99,374,752.8099999999974,229,145,79558.01,80310.81999999999,10000.0,A,1,87,134,153
U0321CE,373,1389.340000000022,293,80,212487.63,213876.9700000001,36869.14,A,1,88,141,144
UA99645,372,-1940.0699999999972,328,44,38386.95,36446.88000000001,7000.0,A,1,145,104,123
UEE56CA,371,-108.50000000000236,352,19,6311.95,6203.450000000003,2716.99,B,1,111,128,132
UAF7277,371,3918.809999999985,362,9,33479.44000000002,37398.25,8300.0,B,1,118,115,138
UBF2CA0,369,-23446.58,331,38,453057.51,429610.93,50000.0,A,1,88,105,176
UFEBAEA,369,1110.8100000000916,319,50,713349.5599999995,714460.3699999999,103185.0,B,1,101,161,107
U99046B,369,-26987.979999999872,223,146,1939167.82,1912179.840000001,75005.63,A,1,136,124,109
U6B2266,368,-2091.669999999989,313,55,528494.96,526403.29,48800.0,A,1,100,105,163
U7B221A,368,38203.680000000015,288,80,874181.8099999998,912385.49,50000.0,A,1,136,132,100
U5CC9DA,367,35368.849999999984,305,62,813462.0600000003,848830.91,433000.0,A,1,146,121,100
U72A188,366,4152.7000000000135,342,24,62069.00000000003,66221.70000000001,17060.84,B,1,146,114,106
U3FF6F2,366,24634.869999999966,356,10,178154.80999999997,202789.68,120000.0,A,1,103,136,127
U217A73,366,1778.859999999999,343,23,16613.439999999988,18392.3,2500.0,A,1,149,95,122
UCC81B7,366,-76964.33000000003,303,63,145434.39999999994,68470.07,15358.06,A,1,131,122,113
U4ECCB6,366,37812.06000000004,250,116,1141369.04,1179181.0999999996,50000.0,A,1,147,72,147
U3DAA7B,366,2898.3299999999963,313,53,1222773.9500000002,1225672.2800000005,119000.0,A,1,96,150,120
U725ADE,366,-2542.600000000001,241,125,50241.65000000001,47699.05,2600.0,B,1,109,139,118
U961DBB,365,2572.360000000117,190,175,1668096.3099999996,1670668.669999999,30000.0,A,2,94,60,211
U18ABA9,365,2304.8899999999976,351,14,53272.25,55577.14,12134.32,B,1,124,119,122
U041223,365,-33353.040000000066,217,148,1466079.16,1432726.12,100000.0,A,1,115,104,146
U13C08B,364,16.350000000010823,209,155,204121.31999999995,204137.67000000007,7752.0,A,3,173,126,65
U462BAA,364,4271.559999999884,349,15,462215.93,466487.4900000001,351962.44,A,1,118,153,93
U4A6DC4,363,3764.970000000003,352,11,18352.93,22117.9,11062.08,B,1,107,138,118
U220004,363,975095.81,321,42,54647.01,1029742.82,50000.0,B,1,81,143,139
UE6E1CB,362,7038.640000000013,330,32,344562.1499999999,351600.79,50000.0,A,1,108,126,128
U6C89D5,362,763.0900000000138,336,26,146775.33999999994,147538.43,50000.0,A,1,130,119,113
UF37F49,361,-7107.290000000008,355,6,19227.370000000006,12120.080000000002,3975.78,B,1,123,116,122
U699D61,361,91260.63000000006,223,138,588241.5499999996,679502.18,34000.0,A,1,82,149,130
U1603EB,361,-44015.42000000001,339,22,403422.49,359407.06999999995,49000.0,B,1,102,104,155
U43E226,361,-8903.650000000003,324,37,125167.56999999998,116263.92,18000.0,A,1,130,115,116
UA0F1E7,360,-25542.85,351,9,50340.36000000002,24797.51,6900.0,A,1,145,118,97
U02A411,360,-42325.239999999976,346,14,95755.11,53429.87000000001,21801.74,B,1,81,131,148
U886DCB,360,-5776.830000000003,317,43,482574.1400000001,476797.31,50000.0,A,1,143,110,107
UA279A1,360,11265.159999999987,325,35,132552.47,143817.62999999998,35000.0,B,1,108,136,116
U37D082,358,-98.9699999999997,302,56,30835.179999999997,30736.21000000001,5630.4,A,1,127,115,116
UA5A878,358,5037.059999999996,255,103,272417.7899999997,277454.85,50000.0,B,1,116,117,125
U874DDD,357,-396.0999999999981,195,162,179492.3,179096.19999999995,5094.91,A,2,297,55,5
U7D3CE6,357,-8205.780000000013,334,23,183326.14000000007,175120.36,50000.0,A,1,151,108,98
UEBA468,356,4723.940000000001,274,82,142461.3,147185.24000000002,10000.0,A,1,94,153,109
U8365A8,356,-1380.1700000000033,334,22,26655.46,25275.289999999994,5000.0,B,1,114,158,84
U37755B,356,13691.06000000001,311,45,167571.18000000002,181262.24,40000.0,B,1,114,111,131
UBA6962,355,8518.319999999983,318,37,136934.18999999994,145452.50999999998,36000.0,B,1,130,99,126
