,user,trd_times,total_count,B_out,C_in,out_count,in_count
132,U32198,708,-48582.349999999205,576,132,3155627.8599999994,3107045.5100000002
133,U18363,707,-22486.850000000395,664,43,1261699.7199999997,1239212.8699999994
134,U1057392,704,-0.8599999999997863,354,350,28677.659999999993,28676.799999999992
135,U18382,704,38009.479999999945,581,123,5473562.270000001,5511571.750000001
136,U13087,703,-142041.44,561,142,1157640.1600000001,1015598.7200000002
137,U18065,701,20.289999999938345,444,257,1138130.4800000002,1138150.7700000003
138,U32305,700,-6904.430000000051,465,235,7566929.629999999,7560025.199999999
139,U15234,699,1921.4700000000105,539,160,299972.25,301893.72000000003
140,U21006,699,2392798.8100000084,677,22,200268518.35,202661317.16
141,U20864,696,-133594.04999999978,420,276,2538877.7799999993,2405283.7299999995
142,U16754,695,17355.050000000043,549,146,817649.2600000002,835004.3100000003
143,U14842,695,-3890.5200000000027,575,120,485158.2299999999,481267.7099999999
144,U14421,692,-14557.719999999974,545,147,458052.3600000009,443494.64000000095
145,U42846,690,26628.38999999998,494,196,245439.77999999985,272068.1699999998
146,U21226,685,132287.6799999998,289,396,753510.0500000003,885797.7300000001
147,U42223,683,-77262.39000000004,525,158,492583.6499999999,415321.2599999999
148,U17601,683,-16244.750000000013,609,74,1666603.9099999992,1650359.1599999992
149,U15515,680,202924.72999999992,431,249,18401143.759999983,18604068.489999983
150,U39568,673,-42319.64999999998,517,156,1092610.2700000003,1050290.6200000003
151,U14097,671,-5870.600000000004,443,228,1605592.170000001,1599721.570000001
152,U27578,670,51056.40000000016,355,315,5522808.8900000015,5573865.290000002
153,U1174606,668,180.4699999999998,506,162,107755.41999999997,107935.88999999997
154,U16927,665,-7235.400000000094,448,217,1287622.86,1280387.46
155,U21682,664,-18575.890000000003,651,13,255692.92,237117.03
156,U18553,662,3330.2900000000686,268,394,406929.32,410259.6100000001
157,U10622,657,-3784.5600000000136,568,89,423897.7100000003,420113.1500000003
158,U24582,656,-108618.8300000004,566,90,5114530.619999999,5005911.789999999
159,U16153,654,-15957.869999999963,494,160,854245.7699999999,838287.8999999999
160,U1378289,652,-16989.579999999976,418,234,363013.53999999986,346023.9599999999
161,U19856,652,355582.02000000014,397,255,17573400.649999995,17928982.669999994
162,U18548,651,-34393.719999999885,472,179,2135611.89,2101218.1700000004
163,U23185,649,170583.20000000007,632,17,162069.70999999996,332652.91000000003
164,U25093,649,39408.48999999987,316,333,982812.66,1022221.1499999999
165,U10432,648,3268.8999999999687,362,286,1254993.1099999999,1258262.0099999998
166,U16921,647,-223254.41999999946,479,168,4400107.229999999,4176852.809999999
167,U22216,644,808496.2100000008,513,131,1853968.2699999998,2662464.4800000004
168,U858055,641,-61.960000000092,308,333,2082380.6799999995,2082318.7199999993
169,U26537,639,13394.810000000049,513,126,1266902.8300000008,1280297.6400000008
170,U25017,639,33906.64,478,161,629178.3799999999,663085.0199999999
171,U1141250,637,10.429999999988457,369,268,490855.2799999998,490865.7099999998
172,U15160,637,269331.99999999994,595,42,451134.0900000001,720466.0900000001
173,U24578,634,31245.160000000316,594,40,298022.0299999999,329267.19000000024
174,U32013,633,-89672.96999999999,602,31,1114035.3700000003,1024362.4000000004
175,U8662,632,3987.1299999999355,589,43,1151096.5900000003,1155083.7200000002
176,U30706,629,-365.7799999999999,253,376,28614.210000000003,28248.430000000004
177,U16899,629,-877746.5799999998,515,114,19857976.179999992,18980229.599999994
178,U29920,629,43838.49000000009,456,173,1856807.8999999992,1900646.3899999992
179,U14709,629,206645.3000000003,499,130,6597295.539999998,6803940.839999999
180,U24810,627,-1196.7999999997082,397,230,6028289.39,6027092.59
181,U43825,624,-991.1499999999988,482,142,77675.22,76684.07
182,U24586,624,13764.88000000002,521,103,2101930.059999999,2115694.939999999
183,U16324,621,-90604.18000000047,590,31,136308.09000000064,45703.91000000016
184,U27835,621,10719.169999999967,461,160,868201.3100000003,878920.4800000002
185,U1340844,619,-2562.189999999995,315,304,117894.59000000003,115332.40000000002
186,U8685,619,-17797.619999999955,438,181,560129.2399999999,542331.6199999999
187,U799657,618,-23.39000000000533,455,163,148477.71,148454.31999999998
188,U13426,617,71219.88000000003,493,124,1505621.7899999998,1576841.67
189,U1375738,617,-435.1200000000007,322,295,88837.73,88402.61
190,U9619,616,4339.029999999991,476,140,383777.25999999983,388116.2899999998
191,U41508,616,20394.549999999945,519,97,1149404.7600000005,1169799.3100000005
192,U36741,615,52927.0,442,173,514071.62999999995,566998.6299999999
193,U33198,615,-69179.02999999514,479,136,22024694.13000002,21955515.100000028
194,U15406,615,-16841.73999999995,408,207,2163240.9700000007,2146399.230000001
195,U11805,615,3856.1400000001436,577,38,1527680.0299999972,1531536.1699999974
196,U26536,613,-18411.40000000001,333,280,1802725.28,1784313.8800000001
197,U34790,613,169901.93000000005,564,49,681017.8700000005,850919.8000000005
198,U40989,612,-356.8199999998833,445,167,1420155.32,1419798.5000000002
199,U38318,609,-75561.81000000001,549,60,1410738.5500000005,1335176.7400000005
200,U42029,609,-4804.119999999981,592,17,788984.8600000001,784180.7400000001
201,U9195,606,26291.81999999999,526,80,173053.54000000004,199345.36000000002
202,U19119,605,-2929.609999999986,422,183,596517.9199999999,593588.3099999999
203,U36619,605,-7679.120000000013,568,37,186063.45999999996,178384.33999999994
204,U27809,605,-7849.760000000021,456,149,1230892.9600000004,1223043.2000000004
205,U41609,605,-96687.98000000004,559,46,295281.0800000002,198593.10000000015
206,U40695,605,28441.24999999996,460,145,1556191.99,1584633.24
207,U23510,604,-179.94000000001597,369,235,1803543.1099999987,1803363.1699999988
208,U991212,603,-1665.0600000000054,334,269,392195.54,390530.48
209,U976539,600,8466.210000000086,391,209,1692844.6700000002,1701310.8800000004
210,U12978,600,-8672.2399999999,358,242,3216093.86,3207421.62
211,U12641,600,-7054.700000000083,551,49,950899.1099999999,943844.4099999998
212,U8886,600,3904.54999999995,504,96,272549.3699999999,276453.9199999998
213,U8203,599,-34372.68000000012,549,50,743638.0700000003,709265.3900000001
214,U9053,599,-2881.2500000002174,172,427,496969.73999999993,494088.4899999997
215,U23428,599,-14922.509999999953,574,25,263342.1599999996,248419.64999999967
216,U17491,599,-157975.62999999995,484,115,6842153.86,6684178.23
217,U18421,599,5368.170000000017,397,202,190607.19000000003,195975.36000000004
218,U20320,598,-272024.1600000002,440,158,12927586.11000001,12655561.95000001
219,U17951,597,-19163.459999999992,501,96,1529774.0300000014,1510610.5700000015
220,U688634,597,246.72000000000023,369,228,61770.23999999998,62016.959999999985
221,U13397,596,-45235.75999999995,518,78,1125635.409999999,1080399.649999999
222,U31859,595,10787.580000000014,561,34,56767.800000000025,67555.38000000003
223,U37146,594,3604.7500000000036,351,243,1023524.9100000003,1027129.6600000003
224,U36192,594,1573.6199999998244,364,230,1036015.5499999998,1037589.1699999997
225,U29506,594,-13639.480000000029,344,250,2085230.4199999992,2071590.9399999992
226,U686233,593,37.32999999999447,328,265,516579.88,516617.21
227,U21821,593,45162.080000000045,423,170,1349859.2000000004,1395021.2800000005
228,U1222346,591,8104.549999999982,318,273,551757.9599999998,559862.5099999998
229,U34360,591,-45388.379999999976,539,52,401940.6800000003,356552.3000000003
230,U25033,590,-40375.469999999994,408,182,99241.84999999996,58866.37999999997
231,U14975,590,-2520.180000000012,402,188,457675.19000000035,455155.01000000036
232,U28456,590,53963.62000000013,207,383,513956.26999999996,567919.8900000001
233,U21205,589,-12994.729999999872,387,202,2022381.4700000004,2009386.7400000005
234,U20146,589,57604.48000000002,372,217,1117511.8,1175116.28
235,U1367271,589,2189.810000000003,330,259,301088.67,303278.48
236,U34422,589,35995.87999999954,461,128,1003503.8999999997,1039499.7799999992
237,U32785,586,-30088.120000000035,341,245,1051164.93,1021076.8099999999
238,U23920,585,-821897.6999999993,116,469,3677289.4599999995,2855391.7600000002
239,U37611,585,3144.32,422,163,334969.80999999994,338114.12999999995
240,U23097,583,36652.039999999986,483,100,385092.2699999999,421744.3099999999
241,U31330,583,10761.430000000033,426,157,797759.4900000003,808520.9200000004
242,U10169,582,120868.60999999946,496,86,6115148.590000002,6236017.200000001
243,U8133,582,-107401.87,462,120,656218.3400000001,548816.4700000001
244,U27046,581,23117.560000000023,331,250,2662318.47,2685436.0300000003
245,U15671,580,9690.269999999759,356,224,4297415.0,4307105.27
246,U33157,579,3240.3299999999444,341,238,1535066.7100000002,1538307.04
247,U25006,579,65132.62000000008,539,40,199963.54999999993,265096.17000000004
248,U23309,578,-187778.56,365,213,7957698.640000001,7769920.080000001
249,U17191,577,-173632.8899999992,532,45,8109842.959999999,7936210.07
250,U13288,576,60940.82000000001,436,140,1319110.5899999999,1380051.41
251,U13422,576,-8644.890000000101,557,19,2097460.07,2088815.1799999997
252,U30757,574,28.12000000018088,311,263,1783476.85,1783504.9700000002
253,U16132,571,67508.6300000018,342,229,6333612.979999993,6401121.609999995
254,U11907,571,-32605.72,529,42,149492.25999999983,116886.53999999983
255,U41389,570,-5201.450000000005,490,80,133477.0,128275.54999999999
256,U16293,569,208847.96000000008,495,74,1883975.2400000007,2092823.2000000007
257,U8945,569,-135456.96999999997,549,20,164986.12999999998,29529.160000000003
258,U12790,568,6035.8800000000165,332,236,143645.40000000005,149681.28000000006
259,U12667,568,1864.8999999999455,521,47,850399.7900000002,852264.6900000001
260,U16025,568,-18085.109999999986,150,418,497274.38,479189.27
261,U11340,568,-9039.040000000014,429,139,100213.76,91174.71999999999
262,U37576,567,287.7800000000152,472,95,740962.0599999998,741249.8399999999
263,U34004,567,37656.489999999794,406,161,2365633.299999994,2403289.789999994
264,U23360,566,-40965.45000000003,521,45,207174.84999999986,166209.39999999982
265,U14377,565,-6947.289999999888,559,6,72731.3699999999,65784.08
266,U17030,565,-6326693.880000006,517,48,7098312.7100000065,771618.8300000001
267,U9762,565,937.9400000001151,333,232,6100409.269999997,6101347.209999997
268,U16888,565,-517886.4100000004,391,174,8279030.72,7761144.31
269,U40250,564,262054.37,524,40,1042998.7700000006,1305053.1400000006
270,U21134,564,-5172.16,513,51,411568.82000000007,406396.6600000001
271,U16923,562,38533.39000000002,470,92,2641339.9899999993,2679873.3799999994
272,U859624,560,291.09999999996217,524,36,235433.77999999985,235724.87999999983
273,U20272,560,-4956.390000000048,505,55,197888.43,192932.03999999995
274,U1356732,559,-39899.42999999998,380,179,471683.4400000001,431784.0100000001
275,U37074,558,-3184.7299999999996,527,31,41996.26000000001,38811.53000000001
276,U9591,558,7660.890000000036,532,26,514528.0299999997,522188.9199999997
277,U41033,557,-40889.71000000003,532,25,3341700.849999997,3300811.139999997
278,U12446,556,-4374.180000000004,451,105,116510.11000000004,112135.93000000004
279,U32780,556,13302.989999999903,286,270,4417093.71,4430396.7
280,U20307,556,-541.7900000000025,496,60,345679.62000000005,345137.8300000001
281,U43791,555,-55784.60000000003,169,386,644425.0599999999,588640.46
282,U26529,554,51912.48000000001,235,319,744572.4700000006,796484.9500000005
283,U41929,554,-44588.09999999999,494,60,188772.82,144184.72000000003
284,U29686,554,-20070.240000000045,470,84,558270.6000000004,538200.3600000005
285,U703365,554,324.86000000000297,369,185,702605.29,702930.15
286,U19832,553,-7781.980000000012,436,117,3300811.869999999,3293029.889999999
287,U32000,553,-579830.6200000001,526,27,871136.8600000002,291306.2400000001
288,U17683,551,2973.9599999999336,221,330,1195197.51,1198171.47
289,U27410,549,-31730.969999999892,494,55,13873443.740000006,13841712.770000005
290,U25110,549,-12851.490000000029,516,33,171380.50999999992,158529.0199999999
291,U10871,549,298345.56000000023,354,195,2625228.23,2923573.79
292,U20590,549,-312.71000000020035,141,408,1085036.19,1084723.4799999997
293,U8027,549,20321.249999999964,532,17,468049.7400000002,488370.99000000017
294,U31782,548,-3350.8100000000036,489,59,322015.9600000001,318665.1500000001
295,U36246,547,-239.120000000005,411,136,100924.23,100685.10999999999
296,U26797,546,2651.0700000000015,414,132,204815.89000000004,207466.96000000005
297,U16684,546,-9102.980000000003,440,106,425759.59,416656.61000000004
298,U25811,544,-1093630.8399999999,515,29,1411507.3199999998,317876.48
299,U28521,544,-1558.7200000000146,286,258,667126.3899999999,665567.6699999999
300,U22145,543,7427.550000000001,287,256,929544.8399999999,936972.3899999999
301,U40890,543,11485.819999999989,346,197,737558.58,749044.3999999999
302,U20482,542,-2694.5300000000243,336,206,783299.6799999996,780605.1499999996
303,U33161,542,325750.5800000006,429,113,3883565.3299999996,4209315.91
304,U9322,541,3685.230000000007,516,25,128628.8699999999,132314.0999999999
305,U18545,540,4977.129999999989,358,182,1278259.1600000001,1283236.29
306,U12172,540,-1730.4399999999678,300,240,668249.3300000001,666518.8900000001
307,U43007,540,9669.710000000006,517,23,91257.1400000001,100926.85000000011
308,U25320,540,5031.420000000101,349,191,392539.9100000001,397571.3300000002
309,U32675,538,-2857.470000000068,444,94,1175146.46,1172288.99
310,U20877,538,1590.3600000000151,139,399,1583357.8200000003,1584948.1800000004
311,U38794,538,-15142.500000000528,405,133,2092021.3099999998,2076878.8099999994
312,U34254,537,-5931.469999999896,274,263,1164067.8300000003,1158136.3600000003
313,U1371286,537,-4893.100000000002,293,244,418584.11,413691.01
314,U9231,537,-92555.01000000001,489,48,102058.25,9503.23999999999
315,U32183,536,1495.3600000000138,449,87,172970.2000000012,174465.56000000122
316,U32381,535,-1111.0199999999995,168,367,546489.37,545378.35
317,U16268,535,-1236.2300000000255,317,218,1193280.5699999998,1192044.3399999999
318,U15041,533,-153334.63999999137,374,159,79460534.0,79307199.36000001
319,U16365,533,-1070.2200000000014,506,27,51386.93000000001,50316.71000000001
320,U20623,533,8544.39999999787,400,133,13562300.260000011,13570844.66000001
321,U30781,533,-21663.279999999984,316,217,590364.81,568701.53
322,U12554,532,1305.2400000000089,441,91,298444.88999999996,299750.12999999995
323,U8664,532,2497.5800000001764,365,167,2005640.3399999994,2008137.9199999995
324,U748525,531,-5.789999999994961,276,255,211115.47999999998,211109.68999999997
325,U9964,530,-8380.749999999998,526,4,20422.589999999997,12041.839999999998
326,U10599,529,-16282.360000000017,307,222,2536498.81,2520216.45
327,U29830,529,-4370.760000000003,488,41,121541.51999999996,117170.75999999995
328,U18249,528,-40519.17000000001,482,46,484456.79,443937.62
329,U41628,528,-394564.16,417,111,2063357.5200000003,1668793.3600000003
330,U10178,528,-445077.9000000001,393,135,1165712.19,720634.2899999998
331,U35720,528,665.6900000000023,372,156,312807.64999999997,313473.33999999997
332,U14303,528,9990.08999999978,484,44,4988416.610000001,4998406.700000001
333,U12762,527,-7263.579999999999,292,235,892611.3700000001,885347.7900000002
334,U13161,526,-3051.2899999999845,386,140,755619.5300000006,752568.2400000006
335,U9257,526,-59930.34000000001,466,60,300554.5499999999,240624.20999999985
336,U9101,525,52017.649999999776,288,237,4295091.08,4347108.7299999995
337,U36460,525,336475.18000000017,379,146,10347705.28,10684180.459999999
338,U21661,524,13681.500000000004,293,231,432636.6099999998,446318.1099999998
339,U16236,524,-3862.24,495,29,53188.09999999999,49325.85999999999
340,U16164,524,14041.939999999995,82,442,377465.6900000002,391507.6300000002
341,U8842,524,-3347.109999999967,449,75,295536.88999999996,292189.77999999997
342,U42868,523,34353.03999999997,276,247,762417.5,796770.5399999999
343,U19166,523,18342.70000000004,295,228,1414518.3699999999,1432861.0699999998
344,U14266,522,198658.77000000048,313,209,31022484.680000003,31221143.450000003
345,U35765,522,-94035.17999999995,511,11,245453.08,151417.90000000002
346,U22027,522,-56496.05999999998,475,47,374463.7700000001,317967.7100000001
347,U749303,521,114.94000000000364,265,256,446561.43,446676.37
348,U31030,520,-548.6999999998786,490,30,234413.49999999977,233864.7999999999
349,U27734,519,-28530.55000000005,485,34,3500645.550000001,3472115.000000001
350,U21282,519,-26058.57000000018,426,93,1327830.02,1301771.4499999997
351,U13655,518,-3613.3799999999937,504,14,44336.63000000001,40723.250000000015
352,U14397,518,-28587.569999999927,464,54,649218.2600000002,620630.6900000003
353,U19708,518,-13961.759999999855,492,26,366644.1900000012,352682.4300000014
354,U1356012,518,1330.8200000000006,310,208,228188.25,229519.07
355,U12474,518,-2907.159999999995,459,59,139857.63999999998,136950.47999999998
356,U42773,518,-2352.440000000046,370,148,998443.88,996091.44
357,U1372910,518,5319.699999999993,294,224,1067804.7000000002,1073124.4000000001
358,U17211,517,-1086271.9999999988,457,60,16536505.020000001,15450233.020000003
359,U40762,516,316099.82999999984,125,391,5317588.34,5633688.17
360,U22796,516,-10710.610000000179,443,73,1855347.8099999984,1844637.1999999983
361,U42570,515,2443.249999999998,427,88,368212.50999999995,370655.75999999995
362,U33813,515,-29821.550000000003,384,131,489127.01000000007,459305.4600000001
363,U36785,515,8240.270000000004,497,18,48635.990000000034,56876.26000000004
364,U23662,514,-30661.41999999988,484,30,1429422.6499999997,1398761.2299999997
365,U15424,514,-306447.3899999997,327,187,557511.8200000002,251064.43000000046
366,U8583,514,21041.510000000068,438,76,2692367.98,2713409.49
367,U40648,513,3253.849999999744,446,67,12101719.06,12104972.91
368,U34909,513,4845.570000000373,351,162,7717064.260000002,7721909.830000002
369,U12610,512,-17268.899999999936,477,35,461625.9799999995,444357.0799999996
370,U26348,512,4887.249999999967,152,360,2115487.68,2120374.93
371,U27178,511,9547.720000000108,430,81,753770.2800000004,763318.0000000005
372,U12438,511,11574.90999999988,303,208,1102333.2000000002,1113908.11
373,U31223,511,-40686.04000000002,333,178,640969.2299999999,600283.1899999998
374,U19912,510,-29496.770000000008,402,108,205873.26999999996,176376.49999999994
375,U40370,510,272.90999999999804,472,38,173033.58,173306.49
376,U40294,510,21428.750000000047,442,68,397813.9600000002,419242.71000000025
377,U35324,509,-112387.00000000001,492,17,198615.68,86228.67999999998
378,U12231,509,19998.150000000005,494,15,75000.62999999999,94998.78
379,U8449,508,41064.52999999999,262,246,1028744.65,1069809.18
380,U26410,508,-40235.91000000005,216,292,996470.8699999998,956234.9599999997
381,U42379,506,-10138.839999999984,238,268,1760390.4700000065,1750251.6300000064
382,U21633,506,25990.699999999604,208,298,123526677.16000001,123552667.86000001
383,U34825,505,-11131.17000000017,436,69,8537269.670000006,8526138.500000006
384,U37465,504,-25251.49,491,13,95976.28000000007,70724.79000000007
